,pid,px,py,pz,mx,my,mz,ex,ey,ez,delta p m,,,delta m e
71,5810514e-2a86-4a34-b7bd-1e4b0b601295,-2243,-1000,-312,-2163.1,-1121.9,-15.5,-2114,-1175,-193,330.3874544,,,191.6681246
72,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,-1781,-4000,-122,-1758.9,-4002,29.2,-1864,-3825,-93,152.819665,,,239.3905804
73,1ef94d02-d51a-491f-a313-1bb5238d6b8b,-1321,1250,-741,-1321,1250,-741,-1164,1650,-893,0,,,455.7992979
74,63435e73-6a72-4007-b0da-03e6473e6870,-3975,-4000,-1264,-4101.3,-3904.1,-1787.9,-4239,-3500,-1443,547.3752917,,,548.8297641
75,88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,-3360,-4500,-1884,-3500,-4479,-1884,-2939,-4650,-918,141.5662389,,,1130.096456
76,220bca21-4cf8-43f1-a213-71645899c571,-2704,-2500,-265,-2733,-2461.9,-338.2,-2714,-2325,-243,87.46913741,,,167.8262494
77,f6aad04f-d47c-434f-abec-bd39adec6908,1304,-2250,68,1118,-2268,0,-1668.249704,-2976.590308,57,198.8567323,,,2875.506328
78,3675290c-8134-4598-b924-83edb7940269,-1300,-3750,-51,-1041,-3888,0,-789,-3925,-193,297.8690988,,,319.5653298
79,ee537153-e8a7-49de-a567-5b22261349e2,806,-6500,-598,799,-6500,-598,886,-5800,-693,7,,,711.754171
80,8f1d5aad-8c1f-4e81-869a-5a1ab1bf53b2,-2243,-2000,-169,-2216.4,-2022.8,-456.2,-2589,-1800,-243,289.3289477,,,483.6577716
81,1e890a6a-b944-47d7-958c-c84481ade224,-2514,-5500,-1880,-2594.5,-5574.7,1295,-2314,-5700,-1018,3176.898698,,,2333.312954
82,43436b4b-0431-407f-b83d-d657ec22b5c6,-1781,-3500,-27,-1784.3,-3500.5,-1724.2,-1964,-3725,-93,1697.203282,,,1656.353157
83,8d661567-49f3-4547-997d-a345c0ffe2dd,-4022,-1250,-1264,-3959.8,-1076.6,-2025.5,-4164,-875,-1468,783.4657938,,,627.0139153
84,03d2d8d1-a116-4763-8425-4ef7b1c1bd35,-2405,1750,-1360,-2409.7,1748,-984.5,-2664,1575,-1518,375.5347387,,,615.8082007
85,1841cf1f-725d-499e-ab8e-7f6fc8c308b6,-2338,-3250,-170,-2358.2,-3250.1,-335.2,-2789,-3000,-293,166.4304359,,,499.9194835
86,9bca04fe-40bf-467a-8f85-b0521a0ba513,300,-6500,-575,380.4,-6460.9,0,761,-6075,-593,581.9089018,,,803.3829535
87,0a9800bb-b4a3-4162-b6a8-79a07c6131cc,-2896,-750,-645,-2773.6,-602.4,930.7,-2864,-700,-593,1587.324167,,,1529.496522
88,9e44ddb5-7c7c-48f1-954a-6cec2ad26088,-2896,-750,-645,-2003,-2216,895,-2364,-2175,-143,2306.123371,,,1099.748153
89,bdd57835-38b0-46ff-acda-45e14b8d6293,-804,-1250,-27,-826.3,-1363.7,-157.5,-1689,-1750,7,174.5142688,,,959.4473566
90,0d59e3a1-86c1-44bd-b291-d1f8bc8327ba,-2725.7,-3500,-312,-2725.7,-3564.8,508.1,-2714,-3500,-343,822.6560946,,,853.6434502
91,8b735d77-b77b-4243-8821-37802bf402fe,-3997,-4259,-1359,-3946.7,-4236.3,1886,-3939,-3900,-1293,3245.469208,,,3196.748032
92,786cc6e3-2aa4-4afb-be8f-5d60f80b30b1,3000,-800,-1336,3000,-800,-1105,-764,3100,-1618,231,,,5444.342476
93,fa539f97-a078-4fc6-9a12-237799466d9c,-2243,-3000,-122,-2586,-2208,0,-2826.32018,-3106.435535,-318,871.6633524,,,982.8856494
94,621ca6ee-17e8-4953-b107-c5d4b4161eb4,300,-7000,-670,-469.1,-6974.8,2142,536,-7375,-1418,2915.389142,,,3720.750737
95,826733f9-5634-422e-ad96-c28cb61b4df3,-2243,-2500,-122,-2258,-2496.5,-506.9,-2339,-2375,-118,385.2080736,,,415.4111939
96,38981973-20de-44e5-8717-efcf88642502,-2243,-2500,-122,2528.7,-5124.1,-2373.2,2536,-5400,-1293,5892.615984,,,1114.901852
97,28d5d3fa-bae7-499c-9362-7328ed2ff0d0,-1950,-2600,0,-1950,-2650,0,-2482.928787,-2394.96219,-168,50,,,614.2323476
98,ae47844e-636f-4f8e-aff8-c6fe8213675b,493,-2250,69,504.3,-2250.9,932.2,322.3306664,-1993.245516,57,863.2744291,,,930.3083958
99,3220377b-f53e-412d-a859-ef8ccb8f0a40,478,-750,-170,469.7,-669,-454.7,364.8427603,-1576.518613,7,296.1148088,,,1023.59756
100,1d547041-230a-4af3-ba6a-7287de2bdec3,-717,-5000,-836,-828,-5057.5,1190.5,-589,-5275,-793,2030.352063,,,2009.651587
101,31dfa577-0a6c-41c0-ab8f-ad592ae2c6b1,-2243,0,-598,-2163,0,-2000,-2164,0,-543,1404.280599,,,1457.000343
102,5e523a84-1045-4f79-9998-d860096eb329,-2230,500,-789,-2265,526.7,-687.6,-2481.059492,649.7407156,-943,110.5434304,,,356.4405723
103,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,-1304,-2250,68,-1283,-2222,-101,-1267.665846,-2098.130724,107,172.5862103,,,242.5752128
104,825ba9b8-ce03-49b7-b1a8-4d85ae2185af,-1300,-4250,-242,-1733.7,-4267.4,1352.6,-2014,-4625,-568,1652.61841,,,1973.613491
105,aae65ecf-6904-4102-8efc-51dc0f0698a4,-2704,-2000,-312,-2475,-2046,0,-2696.859756,-1635.389198,-318,389.7447883,,,564.7539126
106,26af22bb-b295-4a45-8ed3-1700604c0708,-1281,1000,-693,-1016.5,1035.3,0,-964,1300,-743,742.6003905,,,790.4880391
107,8abf098f-d4f6-4957-9c0a-f53685db74cc,-2243,-2000,-169,-2127.1,-2004.1,571,-2239,-2075,-118,749.0324559,,,701.6191417
108,41ea689a-7e05-463b-915a-90e63b8c0572,-2947,1250,-1455,-2837.2,1365.6,1250,-2589,1525,-1443,2709.694522,,,2709.106975
109,fe2d6fc9-b0c4-4256-b427-9c06950da925,-1781,-3500,-27,-1517,-3653,0,-889,-3250,107,306.3233586,,,753.8182805
110,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,-800,1500,-765,-578.9,1375,0,-584.4903559,1563.565115,-868,806.0615423,,,888.2635052
111,cde1bff5-9519-4bc0-9a21-6b9c40de1085,-1294,-2500,68,-1294,-2500,0,-1246.530561,-2155.788306,107,68,,,363.5712284
112,afecbc7f-10e3-40af-b091-cca9e8df6108,-3997,-4250,-1359,-3996.8,-4250,-2086,-3614,-4300,-1193,727.0000275,,,972.8745243
113,84b29fd0-2a50-4e09-9898-aec0d63433b7,-800,-2000,44,-800,-2000,-100,-759.300904,-2114.315062,157,144,,,284.2065267
114,16799c7a-e395-435d-a4c4-a678007e1550,420,2750,-1359,346.3,2848,1170.6,511,3275,-1818,2532.570206,,,3023.439275
115,eda007e4-c91b-47d7-9896-95f083df6ffc,-1794,-5000,-550,-2061,-5070.6,1323,-1489,-5300,-918,1893.251795,,,2324.196498
116,01937b3b-8719-43c3-b5bd-14e6b0cf2802,1771,-6750,6090,1682,-6454.5,1268,1711,-5825,-868,4831.865608,,,2227.017568
117,b7612153-372f-415a-9770-7101fbbbdc59,-2255,-500,-408,-2255,-500,-408,-2189,-475,-368,0,,,81.12336285
118,cc9d666c-6fe5-418d-9b37-114428d25454,-1768,-3000,-27,-1639.8,-2967.2,241,-1989,-2725,-18,298.8897456,,,497.6770841
119,ad315779-2b39-46c4-8348-b166e796fa7c,1281,2500,-1169,1244,2459.4,-1046,936,2275,-1093,134.7084259,,,362.0446934
120,19c9caea-2df8-4097-92f8-0a2bad055948,-2355,-250,-551,-2355,-250,-551,-3164,-300,-868,0,,,870.3275246
121,7beb9419-113d-4e47-938c-68ab2657031e,-800,-1500,-4,-808,-1510,-619,-912.4129369,-1544.695669,82,615.1333189,,,709.5821664
122,ad5277e5-933d-45e4-bade-c9bd0e1f144a,-3447,-250,-1074,-3853.5,-389.7,1628.3,-3639,-3625,-893,2736.271849,,,4107.326385
123,10ef1dcd-093c-4839-8f38-90a25edefb49,-794,-4000,-74,-737.5,-4000.2,980,-1114,-4000,-143,1055.513283,,,1184.432898
124,ae252f7b-0224-4925-8174-7b25c2385bb7,-2243,-2000,-169,-2282.1,-1836.4,-763,-2444.719113,-1695.748681,-218,617.3570847,,,585.877777
125,588070f0-b2a1-4d55-8946-66d1a37c7586,-1755,3000,-1503,-1667.5,2967.4,1396,-1364,3300,-1793,2900.503406,,,3220.629754
126,cf4f855f-0d61-4cbb-aa3f-145e90caae74,-800,-3750,-51,-660,-3816,0,-1217.231863,-3940.841866,-118,162.963186,,,583.1096301
127,a1b87882-4a77-403f-9f48-4615e7662d56,493,-1250,-27,593.6,-1481.2,-160.6,336,-1825,57,285.3467364,,,481.5661533
128,2c401cbd-b95c-4ebe-8a83-92b55ab49542,-2192,3000,-1740,-2395.7,2984.2,-1257.9,-2314,3025,-2068,523.6064744,,,815.2309734
129,51ed2573-9357-43fc-9841-67e9590811c4,-2246,-2000,-169,-2246,-2000,-169,-2013.147053,-1972.302983,-43,0,,,266.2022162
130,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,-4006,-2250,-1074,-3837.4,-2124.1,-1306.7,-4214,-2075,-1243,313.7292782,,,385.0922747
131,5246af08-0730-40f7-83de-29b5d62b9b6d,-2243,-2000,-169,-2243.1,-1999.8,-361,-2352.183836,-2387.414937,-143,192.0001302,,,457.8958641
132,4c04120d-523a-4795-ba8f-49dbb8d9f63a,2243,-2000,-169,2239.5,-2360.2,-477.1,2092.058732,-1995.759806,-93,474.0062236,,,549.6256839
133,e8f9fba4-d151-4b00-bee7-447f0f3e752c,-1313,-1250,-75,-1317,-1253,-254,-1439,-1425,7,179.0698188,,,335.5428438
134,7c167d19-7b70-45bf-b0e8-9035227a359e,-3360,-4500,-1884,0,0,0,-3589,-3825,-918,5923.601607,,,5324.872768
135,57656bee-e32e-4848-b924-0f6f18cfdfb1,-2243,-2000,-169,-2382.3,-1753.9,-754.2,-2114,-2250,-43,649.9451823,,,907.6924259
136,ec7ebf8c-63a2-4f2b-8305-7291364f5c44,-3577,-2000,-789,-3475.9,-2063.7,-568.1,-3789,-2850,-868,251.1487806,,,897.9082971
137,6d3b68e0-3efd-4b03-b747-16e44118a0a9,986,-1250,-49,953.7,-1533.4,-211.1,647.7913179,-1812.806127,107,328.0781309,,,522.3365924
138,d3b3c9a7-cf6a-4d25-b8da-e0f599a26191,493,-2250,69,596,-2376,270,711,-1975,157,258.6232781,,,432.1978714
139,20469b30-1cd8-4078-9883-a840a0f6d787,-1281,2000,-979,-931,2164,1221.3,-1014,2925,-1443,2233.991068,,,2772.093882
140,f698f893-da01-49a1-ae4b-16f7e42e5ff5,-1281,2000,-979,0,0,0,-3964,-3675,-1218,2568.930128,,,5540.978704
141,b549e337-acc5-4837-9c56-e53b173fe5fe,-813,1750,-836,-1010.1,2163.8,608,-1114,2725,-1343,1514.99665,,,2032.766994
142,bef552f5-efd8-4e98-8467-d54ac7c4ef41,-1855,1250,-932,-1833,1250,-1747,-2089,1750,-1243,815.2968784,,,754.68669
143,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,1300,-3500,44,1255,-3503,0,1361,-3400,57,63.00793601,,,158.4108582
144,e53c4dea-7ac7-43d5-ae74-34957fcfe01d,-1294,-2500,68,-1294.1,-2499.8,-374.1,-1411.326196,-2368.394564,107,442.1000565,,,512.3149223
145,3fd2d2b3-9415-4b6e-b392-40427fb1c388,-1321,1250,-741,-1372,1365,-1219,-1869.911752,1833.418077,-1168,494.2772501,,,685.5163071
146,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,-1321,1250,-741,0,0,0,-2514,-4400,-543,1963.828404,,,5096.571887
147,56f2a378-78d2-4132-b3c8-8c1ba82be598,-2704,-2500,-265,-2704,-2500,0,-2789.055882,-2077.449736,-293,265,,,521.1834887
148,baf6ed8a-6c44-459f-8582-2be8d0e0bbc4,-600,-1725,40,-600,-1725,0,-1139.642281,-1850.231659,107,40,,,564.2213751
149,5b9ce60c-dcc9-4789-b2ff-29d873829fa5,-2000,-2250,-100,-2346,-2750,-169,-2583.703072,-2116.32928,-218,611.945259,,,678.5590109
150,b543e81e-4c8f-415e-82ec-631b177d19d2,-800,-3500,0,-1065,-3501,0,-1367.569382,-3478.475309,57,265.0018868,,,308.7144195
151,3a37fb5c-3e96-4a0e-ac63-2eeec6744588,300,-6500,-575,294,-6349,-1783,361,-6800,-843,1217.415706,,,1044.743988
152,f89a58d3-2492-4b54-ac46-2e96932483d5,-4006,-2250,-1074,-3998,-2232,-1727,-4112.361622,-2746.050508,-1143,653.2970228,,,786.3730068
153,727ff7c4-d63f-4bd8-9888-f134a25b874f,500,-3250,44,218.8,3359,13.6,661,-2550,157,6615.049403,,,5927.257831
154,58b271d5-f728-4de8-b2ae-51908931247c,1370,-7000,-932,1310,-6946,-932,1361,-7050,-1418,80.72174428,,,499.6128501
155,91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,-3997,-3250,-1074,-3879.8,-3209.4,-1230.6,-3789,-3375,-943,199.7692669,,,344.0665052
156,bfda40f8-a7a7-47cd-a439-39fb5cd7873f,-1714,-5500,-1133,-1714,-5500,-1133,-1789,-5575,-993,0,,,175.6416807
157,814de925-fd6a-4f63-9070-3da78243e246,-1800,-600,0,-1800,-1600,0,-1664,-1100,-93,1000,,,526.4456287
158,262337f9-2cff-4dc0-8b1b-65b34bb41d5e,-800,2000,-908,-800,1000,0,-458.9747827,2252.154442,-1218,1350.727212,,,1779.806996
159,0e8d3cb3-2e4c-47a0-8bb4-65d2cc3161c6,-1300,-500,-242,-1300,-500,-242,-1464,-400,-243,0,,,192.0859183
160,84fd7fa3-6c2d-4233-b265-46a427d3d68d,-2243,-2000,-169,-2078,-2043.8,-54.7,-2214,-1225,-193,205.4456863,,,841.4608309
161,9657af01-50bd-4120-8303-416ad9e24a51,-2243,-2000,-169,-2257,-2009.4,-649.3,-2289,-1800,-143,480.5959322,,,548.8278874
162,5d5db50a-f83d-4599-92d4-7a37fe26b674,-800,-1750,44,-800,-2250,92,-768.2867839,-1854.024425,107,502.2987159,,,397.5265829
163,3bd1f88b-4e0c-43a6-9483-3305e82f2fae,-2268,-4500,-360,-2718.5,-4447.9,-993.9,-2826.547807,-4494.332266,-768,779.418931,,,254.6784127
164,ca5764ea-a57e-49de-8156-84da18ad439f,-2243,-2000,-169,-2049.6,-2160.2,-468.4,-2151.994108,-2163.42774,-68,390.7786586,,,413.2978728
165,0addf195-9341-4a03-b8cc-b43beb7873b0,493,-3750,-74,493,-3749.9,-487.3,199.3353134,-3950.28016,-793,413.3000121,,,468.8748733
166,e10a7a75-4740-41d1-82bb-7696ed14c442,1781,-4000,-122,1795.9,-3655,-181.4,2067.800324,-4122.281032,-293,350.3931649,,,552.0289026
167,98bde8a6-6b6a-4e53-96b1-9078c3974a97,-3464,1500,-2019,-3464.1,1500.1,-1855.4,-3814,1200,-2318,163.6000611,,,653.0610844
168,1f555fc6-5067-428b-a284-da6fb0b6b3a0,-2268,-4500,-360,-2268,-4500,-360,-2664,-4025,-443,0,,,623.9631399
169,8d0a5caf-2be2-48c1-bf1a-f538bacd46b4,300,-6000,-670,303.7,-6005.9,-458.3,686,-6150,-593,211.8145179,,,430.1885517
170,154b7adb-c947-4b65-a0ff-c0bb707e1564,-2300,-4750,-527,-2303.5,-4850,-1469.8,-2867.858487,-5496.239068,-1368,948.0949794,,,863.9957609
171,6c897616-f03c-442c-acd8-109fd97ba463,-2888,-1750,-455,-2863.3,-1734.5,-452.6,-3514,-2525,-643,29.25918659,,,1041.418696
172,e55266c7-eb05-47bb-b263-1cc08dc3c00c,2243,-2000,-169,2236.5,-1969.8,-181.2,1861,-1900,-43,33.21340091,,,406.1668746
173,cb1c4327-5f5e-4286-85ed-840c85e82792,1745,-6250,-884,1741,-6242,-2455,1886,-6550,-1118,1571.025461,,,1379.658653
174,68c98fb2-402b-4670-9b3b-0c77619998ea,-2346,-2750,-169,-2278.2,-2719.1,-1049.7,-2024.812877,-3360.152281,-43,883.8462197,,,1220.081125
175,fb76fd5c-0b91-41f2-9b94-0f64b62396cb,-800,-1750,44,-1038.4,-1746.6,-579.2,-1368.22713,-1829.633509,57,667.2513469,,,721.4089959
176,0f682180-4e80-46e9-86ac-8292bdf40400,-2243,-1000,-312,-2187,-1061.3,-479.8,-1796.48992,-875.5681153,-143,187.2178677,,,548.1137613
177,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,-794,-4000,-74,-794.1,-4000.2,-187.1,-764,-4250,-718,113.100221,,,587.5039234
178,d6c810b2-5922-4127-af2b-4b104bc55c2b,-3154,-3000,-455,-2930.1,-2809.8,-1087.8,-2632.291218,-3602.670972,-318,697.6697571,,,1144.520201
